"拼音排序","編號","詞彙","拼音","等級","詞類","英文解釋"
,"A",,,,,
1,"0955","啊","a ",," ","ah, an exclamation"
2,"0703","阿姨","āyí ",,"N","one's mother's sister, auntie"
3,"1225","矮","ăi",,"VS","short (of stature ), low"
4,"1197","愛","ài",,"VS","to love / be apt to"
5,"0433","安靜","ānjìng ",,"VS","to be quiet, calm, peaceful"
6,"0429","安全","ānquán ",,"VS","safety / to be safe, secure"
,"B",,,,,
7,"0508","吧","ba",," ","question particle, implying probability / sentence suffix, indicating a request"
8,"0030","八","bā",,,"eight"
9,"0534","把","bă",,"Prep","indicating pre-verbal object as thing dealt with by the action"
10,"0675","爸爸","bàba ",,"N","father"
11,"01","白","bái  ",,"N/VS","white/ to be white"
12,"0467","百","băi ",,,"hundred"
13,"0468","百貨公司","băihuògōngsī ",,"N","department store"
14,"02","班","bān ",,"M/N","Measure word for a group of organized people."
15,"1199","搬","bān ",,"V","to move"
16,"0257","半","bàn ",," ","half"
17,"1432","辦法","bànfă ",,"N","method, way of doing something"
18,"1431","辦公室","bàngōngshì ",,"N","office"
19,"1450","幫","bāng ",,"V","to help, to assist"
20,"1451","幫忙","bāngmáng ",,"V","to help someone do something"
21,"1098","棒 ","bàng ",,"VS","good; fine; excellent, great!"
22,"1099","棒球","bàngqiú ",,"N","baseball"
23,"0252","包","bāo ",,"M/V","package of, parcel of/ to wrap, to contain"
24,"0254","包子","bāozi ",,"N","steamed pork bun "
25,"1289","飽                 ","băo ",,"VS ","to be full (after eating )"
26,"0650","抱","bào ",,"V","to hug, to embrace, to hold or carry in one's arms"
27,"1078","報紙","bàozhǐ ",,"N","newspaper, newsprint"
28,"0668","杯","bēi ",,"M","A cup of"
29,"0669","杯子","bēizi ",,"N","cup"
30,"0255","北","běi ",,"N","north"
31,"1038","被","bèi ",,"Prep ","a passive voice indicator"
32,"0316","本","běn ",,"M","Individual measure word for books or magazines, etc."
33,"0317","本子","běnzi ",,"N","book, notebook, edition"
34,"1128","筆","bǐ ",,"N","pen"
35,"0204","比","bǐ ",,"Prep","to compare; compared to, than"
36,"0206","比較","bǐjiào ",,"Adv","comparatively; to compare"
37,"m3353","邊","biān ",,"N","side"
38,"1273","遍","biàn",,"M","Measure word for the course of an action from the beginning to the end."
39,"1437","錶","biăo ",,"N","watch"
40,"0503","別","bié ",,"Adv","don't"
41,"0504","別人","biérén ",,"N","other people"
42,"0367","冰箱","bīngxiāng ",,"N","refrigerator"
43,"1351","餅乾","bǐnggān ",,"N","biscuit, cracker, cookie"
44,"0891","病","bìng ",,"N","illness, disease"
45,"0893","病人","bìngrén ",,"N","patient"
46,"0310","必須","bìxū ",,"Adv","must"
47,"53","不","bú",,"Adv","not, no"
48,"0127","不錯","búcuò ",,"VS","to be not bad, pretty good"
49,"0119","不但","búdàn ",,"Conj","not only"
50,"0121","不客氣","búkèqì ",,"V","you're welcome"
51,"0115","不用","búyòng ",,"Adv","need not, don't have to"
52,"0108","不","bù",,"Adv","not, no"
53,"0117","不好意思","bùhăoyìsi ",,"VS","to feel embarrassed; to be ill at ease"
54,"0109","不一定","bùyídìng ",,"Adv","uncertain, not for sure, not necessarily"
,"C",,,,,
55,"1459","擦","cā ",,"V","to rub, to wipe, to clean"
56,"1012","猜","cāi ",,"V","guess, suspect"
57,"0107","才","cái ",,"Adv","not until, only then , only, merely"
58,"1139","菜","cài ",,"N","food, cuisine"
59,"1140","菜單","càidān ",,"N","menu"
60,"0950","參加","cānjiā ",,"V","to attend, to participate"
61,"1449","餐廳","cāntīng ",,"N","restaurant"
62,"1448","餐桌","cānzhuō ",,"N","dining table"
63,"0912","草","căo ",,"N","grass"
64,"0913","草地","căodì ",,"N","lawn"
65,"0969","常","cháng ",,"Adv","often, usually, generally"
66,"0970","常常","chángcháng ",,"Adv","often, frequently"
67,"0957","唱歌(兒)","chànggē(ér)",,"V","sing"
68,"1149","超級市場","chāojíshìchăng ",,"N","supermarket"
69,"03","吵","chăo ",,"VS","to make a noise, to disturb, to quarrel/ to be noisy"
70,"0444","成績","chéngjī ",,"N","grade (at school), academic record, achievement"
71,"0730","城市","chéngshì ",,"N","city"
72,"1536","襯衫","chènshān ",,"N","a dress shirt or a collared blouse with buttons"
73,"0382","吃","chī ",,"V","to eat"
74,"04","吃飽","chībăo ",,"VS","satiate; full"
75,"1436","遲到","chídào ",,"VS","to be late/ arrive late"
76,"0244","出","chū  ",,"V","to go or come out"
77,"0247","出國","chūguó ",,"V","go abroad (from one's own country)"
78,"0246","出來","chūlái ",,"V","to come out"
79,"0245","出去","chūqù ",,"V","to go out, to leave"
80,"1359","廚房","chúfáng ",,"N","kitchen"
81,"0790","穿","chuān ",,"V","to wear, to put on"
82,"1035","船","chuán ",,"N","ship, boat"
83,"1124","窗/窗戶","chuāng /chuānghù ",,"N","window"
