問好	问好	wen4 hao3	/greetings/
先生	先生	xian1 sheng5	/Mr./husband/teacher/
你好	你好	ni3 hao3	/How do you do?/Hello!/
你	你	ni3	/you/
好	好	hao3	/fine/good/nice/O.K./
小姐	小姐	xiao3 jie5	/Miss/young lady/
請問	请问	qing3 wen4	/May I ask.../
請	请	qing3	/please (a polite form of a request)/
問	问	wen4	/to ask (a question)/
您	您	nin2	/you (singular; polite)/
貴姓	贵姓	gui4 xing4	/What is your honorable surname?/
貴	贵	gui4	/honorable/
性	性	xing4	/(one's) surname is.../to be surnamed/surname/
我	我	wo3	/I/me/
呢	呢	ne5	/(question particle)/
叫	叫	jiao4	/to be called/to call/
什麼	什么	shen2 me5	/what/
名字	名字	ming2 zi5	/name/
王朋	王朋	wang2 peng2	/Wang Peng (a person)/
王	王	wang2	/(a surname)/king/
李友	李友	li3 you3	/Li You (a person)/
李	李	li3	/(a surname)/plum/
