禮物	礼物	li3 wu4	/gift/present/
說到	说到	shui4 dao4	/to talk about/to mention/
聰明	聪明	cong1 ming2	/bright/intelligent/clever/
用功	用功	yong4 gong1	/hard working/diligent/studious/
暑期學校	暑期学校	shu3 qi1 xue2 xiao4	/summer school/
長得	长得	zhang4 de5	/to grow in such a way as to appear/
可愛	可爱	ke3 ai4	/lovely/lovable/cute/
愛	爱	ai4	/to love/
前年	前年	qian2 nian2	/the year before last/
屬	属	shu3	/to belong to/
狗	狗	gou3	/dog/
鼻子	鼻子	bi2 zi5	/nose/
嘴	嘴	zui3	/mouth/
像	像	xiang4	/to be like/to look like/to take after/
將來	将来	jiang1 lai2	/in the future/
一定	一定	yi1 ding4	/certain(ly)/definite(ly)/
臉	脸	lian3	/face/
腿	腿	tui3	/leg/
長	长	chang2	/long/
手子	手子	shou3 zi3	/finger/
以後	以后	yi3 hou4	/afterwards/later/in the future/
應該	应该	ying1 gai1	/should/
彈	弹	tan2	/to play (a musical instrument such as a piano or guitar)/
鋼琴	钢琴	gang1 qin2	/piano/
海輪	海轮	hai3 lun2	/Helen/
湯姆	汤姆	tang1 mu3	/Tom/
