天氣	天气	tian1 qi4	/weather/
比	比	bi3	/comparison marker/
下雨	下雨	xia4 yu3	/to rain/
報上	报上	bao4 shang4	/in the newspaper/
預報	预报	yu4 bao4	/forecast/
更	更	geng4	/even more/
不但而且	不但而且	bu4 dan4 er2 qie3	/not only，but also (as 不但。。。而且)/
會	会	hui4	/will/
暖和	暖和	nuan3 huo5	/warm/
一點兒	一点儿	yi1 dianr3	/a bit/
約	约	yue1	/appointment/
公園	公园	gong1 yuan2	/park/
紅葉	红叶	hong2 ye4	/red autumn leaves/
怎麼辦	怎么办	zen3 me5 ban4	/what to do/
錄像	录像	lu4 xiang4	/video recording/
谢	谢	xie4	/(a surname)/thanks/
上海	上海	shang4 hai3	/Shanghai/
海	海	hai3	/sea/ocean/
糟糕	糟糕	zao1 gao1	/in a terrible mess/too bad/
又	又	you4	/again/
剛纔	刚才	gang1 cai2	/just now/a short moment ago/
出去	出去	chu1 qu5	/to go out/
熱	热	re4	/hot/
舒服	舒服	shu1 fu5	/comfortable/
夏天	夏天	xia4 tian1	/summer/
這樣	这样	zhe4 yang4	/so/like this/
涼快	凉快	liang2 kuai5	/pleasantly cool (weather)/
春天	春天	chun1 tian1	/spring/
冬天	冬天	dong1 tian1	/winter/
又又	又又	you4 you4	/both...and... (as 又...又)/
冷	冷	leng3	/cold/
悶	闷	men1	/stuffy/
下次	下次	xia4 ci4	/next time/
次	次	ci4	/time/(a measure word for occurrence)/
最好	最好	zui4 hao3	/had better/
秋天	秋天	qiu1 tian1	/autumn/fall/
台北	台北	Tai2 bei3	/Taipei/
台灣	台湾	Tai2 wan1	/Taiwan/
潮濕	潮湿	chao2 shi1	/wet/humid/
云	云	yun2	/cloud/
雪	雪	xue3	/snow/
晴	晴	qing2	/sunny/clear/
陰	阴	yin1	/overcast/
台中	台中	Tai2 zhong1	/Taichung (name of a city in Taiwan)/
加拿大	加拿大	jia1 na2 da4	/Canada/
溫哥華	温哥华	wen1 ge1 hua2	/Vancouver/
香港	香港	xiang1 gang3	/Hong Kong/
北京	北京	bei3 jing1	/Beijing/
