房東	房东	fang2 dong1	/landlord/
一房一廳	一房一厅	yi1fang2yi1ting1	/one bedroom and one living room/
沙發	沙发	sha1 fa1	/sofa/
飯桌	饭桌	fan4zhuo1	/dining table/
把	把	ba4	/(measure word for chairs)/
椅子	椅子	yi3 zi5	/chair/
單人床	单人床	dan1ren2chuang2	/single bed/
書桌	书桌	shu1 zhuo1	/desk/
書架	书架	shu1 jia4	/bookshelf/
那裡	那里	na4 li5	/there/
安靜	安静	an1 jing4	/quiet/
非常	非常	fei1 chang2	/very/extraordinarily/
房租	房租	fang2 zu1	/rent/
租	租	zu1	/to rent/rent/
元	元	yuan2	/yuan (unit of Chinese currency)/
水電	水电	shui3 dian4	/water and electricity/
費	费	fei4	/fee/expense/
押金	押金	ya1jin1	/security deposit/
當	当	dang4	/to serve as/to be/
還有	还有	hai2 you3	/furthermore/in addition/
許	许	xu3	/to allow/to be allowed/
養	养	yang3	/to raise/
動物	动物	dong4 wu4	/animal/
什么都	什么都	shen2me5dou1	/all/any (as 什么。。。都）/
吵	吵	chao3	/noisy/
連	连	lian2	/even/
放不下	放不下	fang4bu4xia4	/not enough room to put something/
準備	准备	zhun3 bei4	/to prepare/to plan/
搬出去	搬出去	ban1chu1qu4	/to move out/
搬	搬	ban1	/to move/
出去	出去	chu1 qu4	/(complement after a verb indicating an outward movement)/
多	多	duo1	/(used to indicate an approximate number, meaning "more than")/
報紙	报纸	bao4 zhi3	/newspaper/
紙	纸	zhi3	/paper/
廣告	广告	guang3 gao4	/advertisement/
附近	附近	fu4 jin4	/vicinity/neighborhood/nearby area/
公寓	公寓	gong1 yu4	/apartment/
英里	英里	ying1 li3	/(mile)/
套	套	tao4	/(suite, set)/
臥室	卧室	wo4 shi4	/bedroom/
廚房	厨房	chu2 fang2	/kitchen/
洗澡間	洗澡间	xi3zao3jian1	/bathroom/
客廳	客厅	ke4 ting1	/living room/
帶	带	dai4	/come with/
家具	家具	jia1 ju4	/furniture/
一個人	一个人	yi1ge4ren2	/alone/by oneself/
小說	小说	xiao3 shuo1	/fiction/novel/
杯子	杯子	bei1 zi5	/cup/
休息	休息	xiu1 xi5	/to rest/
乾淨	干净	gan1 jing4	/clean/
公里	公里	gong1 li3	/(kilometer)/
交	交	jiao1	/to pay (rent, tuition, etc)/
