郵局	邮局	you2 ju2	/post office/
留學生	留学生	liu2 xue2 sheng1	/student studying abroad/
寄	寄	ji4	/to send by mail/
要	要	yao4	/to need/to cost/
營業員	营业员	ying2 ye4 yuan2	/clerk/
平信	平信	ping2 xin4	/letter sent by regular mail/
快信	快信	kuai4xin4	/letter sent by express mail/
越	越	yue4	/the more...the more... (as 越。。。越）/
貼	贴	tie1	/to paste/to stick on/
郵票	邮票	you2 piao4	/stamp/
重要	重要	zhong4 yao4	/important/
掛號	挂号	gua4 hao4	/to register/
掛	挂	gua4	/to hang/
加	加	jia1	/to add/
另外	另外	ling4 wai4	/in addition/
明信片	明信片	ming2 xin4 pian4	/postcard/
台南	台南	Tai2 nan2	/Tainan (a city in Taiwan)/
老是	老是	lao3 shi5	/always/invariably/
首飾	首饰	shou3 shi4	/jewelry/
新鮮	新鲜	xin1 xian1	/fresh/novel/
花	花	hua1	/flower/
束	束	shu4	/(a bunch [of flowers, etc.])/
服務	服务	fu2 wu4	/service/
訂	订	ding4	/to order/
收到	收到	shou1 dao4	/to receive/
收	收	shou1	/to receive/
這裡	这里	zhe4 li3	/here/
存钱	存钱	cun2qian2	/to deposit money/
存	存	cun2	/to deposit/
剛	刚	gang1	/just (indicating the immediate past)/
美元	美元	mei3 yuan2	/U.S. currency/
支票	支票	zhi1 piao4	/check/
它	它	ta1	/it/
人民幣	人民币	ren2 min2 bi4	/Renminbi (RMB, Chinese currency)/
人民	人民	ren2 min2	/people/
幣	币	bi4	/currency/
銀行	银行	yin2 hang2	/bank/
北京	北京	bei3 jing1	/Beijing (capital of China)/
中國銀行	中国银行	zhong1 guo2 yin2 hang2	/Bank of China/
旅行支票	旅行支票	lu:3xing2zhi1piao4	/traveler's check/
現金	现金	xian4 jin1	/cash/
新台幣	新台币	xin1tai2bi4	/NT (New Taiwan dollar)/
晚會	晚会	wan3 hui4	/evening party/
離開	离开	li2 kai1	/to leave/to depart from/
美金	美金	mei3jin1	/U.S. dollar/
退	退	tui4	/to send back/to return/
丟	丢	diu1	/to lose/to throw/
