約時間	约时间	yue1 shi2 jian1	/to make appointment/
給	给	gei3	/to/for/
打電話	打电话	da3 dian4 hua4	/to make a phone call/
電話	电话	dian4 hua4	/telephone/
話	话	hua4	/speech/talk/words/
喂	喂	wei4	/(on telephone) Hello! Hey!/
在	在	zai4	/to be present/to be at (a place)/
就	就	jiu4	/the very one (indicating verification of someone mentioned before)/
哪	哪	na3	/which/
位	位	wei4	/(a polite measure for people)/
下午	下午	xia4 wu3	/afternoon/
時間	时间	shi2 jian1	/time/
几	几	ji1	/some/a few (an indefinite number, usually less than ten)/
問題	问题	wen4 ti2	/question/problem/
要	要	yao4	/will/be going to/
開會	开会	kai1 hui4	/have a meeting/
開	开	kai1	/to hold (a meeting, party, etc.)/
上午	上午	shang4 wu3	/morning/
節	节	jie2	/(a measure word for class period)/
課	课	ke4	/class/lesson/
年級	年级	nian2 ji2	/grade in school/
考試	考试	kao3 shi4	/to give or take a test/test/
考	考	kao3	/to give or take a test/
以後	以后	yi3 hou4	/after/
有空兒	有空儿	you3 kongr4	/to have free time/
要是	要是	yao4 shi4	/if/
方便	方便	fang1 bian4	/convenient/
到去	到去	dao4 qu4	/to go to (a place) (dao4 ... qu4)/
辦公室	办公室	ban4 gong1 shi4	/office/
行	行	xing2	/all right/O.K./
沒問題	没问题	mei2 wen4 ti2	/no problem/
等	等	deng3	/to wait/to wait for/
不客氣	不客气	bu2 ke4 qi4	/You are welcome./Don't be (so) polite./
客氣	客气	ke4 qi4	/polite/
幫忙	帮忙	bang1 mang2	/to help/to do someone a favor/
別客氣	别客气	bie2 ke4 qi4	/Don't be so polite!/
別	别	bie2	/don't/
下個星期	下个星期	xia4 ge4 xing1 qi1	/next week/
下	下	xia4	/below/next/
中文	中文	zhong1 wen2	/the Chinese language/
文	文	wen2	/language/script/written language/
幫	帮	bang1	/to help/
練習	练习	lian4 xi2	/to practice/
說	说	shuo1	/to say/to speak/
啊	啊	a1	/(a sentence-final particle of exclamation, interrogation, etc.)/
但是	但是	dan4 shi4	/but/
得	得	dei3	/must/to have to/
知道	知道	zhi1 dao5	/to know/
回來	回来	hui2 lai5	/to come back/
手機	手机	shou3 ji1	/cellphone/
中午	中午	zhong1 wu3	/noon/
法文	法文	fa3 wen2	/the French language/
日文	日文	ri4 wen2	/the Japanese language/
德文	德文	de2 wen2	/the German language/
韓國	韩国	han2 guo2	/South Korea/
韓文	韩文	han2 wen2	/the Korean language/
俄國	俄国	e2 guo2	/Russia/
俄文	俄文	e2 wen2	/the Russian language/
西班牙	西班牙	xi1 ban1 ya2	/Spain/
西班牙文	西班牙文	xi1 ban1 ya2 wen2	/the Spanish language/
意大利	意大利	yi4 da4 li4	/Italy/Italian/
意大利文	意大利文	yi4 da4 li4 wen2	/the Italian language/
葡萄牙	葡萄牙	pu2 tao2 ya2	/Portugal/
葡萄牙文	葡萄牙文	pu2 tao2 ya2 wen2	/the Portugese language/
希臘	希腊	xi1 la4	/Greece/
希臘文	希腊文	xi1 la4 wen2	/the Greek language/
拉丁文	拉丁文	la1 ding1 wen2	/Latin/
越南	越南	yue4 nan2	/Vietnam/
菲律賓	菲律宾	fei1 lu:4 bin1	/the Philippines/
泰國	泰国	tai4 guo2	/Thailand/
馬來西亞	马来西亚	ma3 lai2 xi1 ya4	/Malaysia/
夏威夷	夏威夷	xia4 wei1 yi2	/Hawaii/
