天氣	天气	tian1 qi4	/weather/
比	比	bi3	/comparison marker/
下雨	下雨	xia4 yu3	/to rain/
報上	报上	bao4 shang4	/in the newspaper/
預報	预报	yu4 bao4	/forecast/
更	更	geng4	/even more/
不但而且	不但而且	bu4 dan4 er2 qie3	/not only，but also (as 不但。。。而且)/
會	会	hui4	/will/
暖和	暖和	nuan3 huo5	/warm/
一點兒	一点儿	yi1 dianr3	/a bit/
約	约	yue1	/appointment/
公園	公园	gong1 yuan2	/park/
紅葉	红叶	hong2 ye4	/red autumn leaves/
怎麼辦	怎么办	zen3 me5 ban4	/what to do/
錄像	录像	lu4 xiang4	/video recording/
谢	谢	xie4	/(a surname)/thanks/
上海	上海	shang4 hai3	/Shanghai/
海	海	hai3	/sea/ocean/
