不過	不过	bu4 guo4	/however/but/
讓	让	rang4	/to allow or cause (somebody to do something)/
花	花	hua1	/to spend/
不好意思	不好意思	bu4 hao3 yi4 si5	/to feel embarrassed/
這幾天	这几天	zhe4 ji3 tian1	/the past few days/
每天	每天	mei3 tian1	/every day/
每	每	mei3	/every/each (usually followed by a measure word)/
高速公路	高速公路	gao1 su4 gong1 lu4	/super highway/highway/
高速	高速	gao1 su4	/high speed/
公路	公路	gong1 lu4	/highway/road/
路	路	lu4	/road/path/
緊張	紧张	jin3 zhang1	/nervous/anxious/
自己	自己	zi4 ji3	/oneself/
新年	新年	xin1 nian2	/new year/
快	快	kuai4	/soon/be about to/before long (usually takes 了 at the end of the sentence)/
快了	快了	kuai4 le5	/happy/
