飯館	饭馆	fan4 guan3	/restaurant/
服務員	服务员	fu2 wu4 yuan2	/waiter/attendant/
服務	服务	fu2 wu4	/to serve/to provide service/
好像	好像	hao3 xiang4	/to seem/to be like/
位子	位子	wei4 zi5	/seat/
桌子	桌子	zhuo1 zi5	/table/
點菜	点菜	dian3cai4	/to order dishes (in a restaurant)/
菜	菜	cai4	/(of food) dish/course/
餃子	饺子	jiao3 zi5	/dumplings (with vegetable or meat stuffing)/
素	素	su4	/vegetarian/of vegetables/
槃	盘	pan2	/(plate/dish)/
家常豆腐	家常豆腐	jia1 chang2dou4 fu5	/home-style tofu/
豆腐	豆腐	dou4 fu5	/tofu/bean curd/
肉	肉	rou4	/meat (usually pork, when unmodified)/
碗	碗	wan3	/(bowl)/
酸辣湯	酸辣汤	suan1la4tang1	/hot and sour soup/
酸	酸	suan1	/sour/
辣	辣	la4	/spicy/hot/
湯	汤	tang1	/soup/
放	放	fang4	/to put in/
味精	味精	wei4 jing1	/monosodium glutamate (MSG)/
渴	渴	ke3	/thirsty/
這些	这些	zhe4 xie5	/these/
些	些	xie1	/(some [a measure word for an indefinite amount])/
夠	够	gou4	/enough/
餓	饿	e4	/hungry/to starve/
上菜	上菜	shang4cai4	/to serve dishes/
好	好	hao4	/(indicating something is ready)/
