記得	记得	ji4 de5	/to remember/
最後	最后	zui4 hou4	/the last/final/
想起來	想起来	xiang3qi5lai5	/to remember/to recall/
號碼	号码	hao4 ma3	/number/
歌劇	歌剧	ge1 ju4	/opera/
好好兒	好好儿	hao4haor1	/(coll) all out/to one's heart's content/
慶祝	庆祝	qing4 zhu4	/to celebrate/
打掃	打扫	da3 sao3	/to sweep/
掃	扫	sao3	/to sweep/
房子	房子	fang2 zi5	/house/
整理	整理	zheng3 li3	/to put in order/
房間	房间	fang2 jian1	/room/
旅行	旅行	lu:3 xing2	/to travel/
沒關係	没关系	mei2 guan1 xi5	/it doesn't matter/
白建明	白建明	bai2jian4ming2	/(a personal name)/
紐約	纽约	niu3 yue1	/New York/
