房東	房东	fang2 dong1	/landlord/
一房一廳	一房一厅	yi1fang2yi1ting1	/one bedroom and one living room/
沙發	沙发	sha1 fa1	/sofa/
飯桌	饭桌	fan4zhuo1	/dining table/
把	把	ba4	/(measure word for chairs)/
椅子	椅子	yi3 zi5	/chair/
單人床	单人床	dan1ren2chuang2	/single bed/
書桌	书桌	shu1 zhuo1	/desk/
書架	书架	shu1 jia4	/bookshelf/
那裡	那里	na4 li5	/there/
安靜	安静	an1 jing4	/quiet/
非常	非常	fei1 chang2	/very/extraordinarily/
房租	房租	fang2 zu1	/rent/
租	租	zu1	/to rent/rent/
元	元	yuan2	/yuan (unit of Chinese currency)/
水電	水电	shui3 dian4	/water and electricity/
費	费	fei4	/fee/expense/
押金	押金	ya1jin1	/security deposit/
當	当	dang4	/to serve as/to be/
還有	还有	hai2 you3	/furthermore/in addition/
許	许	xu3	/to allow/to be allowed/
養	养	yang3	/to raise/
動物	动物	dong4 wu4	/animal/
什么都	什么都	shen2me5dou1	/all/any (as 什么。。。都）/
