郵局	邮局	you2 ju2	/post office/
留學生	留学生	liu2 xue2 sheng1	/student studying abroad/
寄	寄	ji4	/to send by mail/
要	要	yao4	/to need/to cost/
營業員	营业员	ying2 ye4 yuan2	/clerk/
平信	平信	ping2 xin4	/letter sent by regular mail/
快信	快信	kuai4xin4	/letter sent by express mail/
越	越	yue4	/the more...the more... (as 越。。。越）/
貼	贴	tie1	/to paste/to stick on/
郵票	邮票	you2 piao4	/stamp/
重要	重要	zhong4 yao4	/important/
掛號	挂号	gua4 hao4	/to register/
掛	挂	gua4	/to hang/
加	加	jia1	/to add/
另外	另外	ling4 wai4	/in addition/
明信片	明信片	ming2 xin4 pian4	/postcard/
台南	台南	Tai2 nan2	/Tainan (a city in Taiwan)/
