約時間	约时间	yue1 shi2 jian1	/to make appointment/
給	给	gei3	/to/for/
打電話	打电话	da3 dian4 hua4	/to make a phone call/
電話	电话	dian4 hua4	/telephone/
話	话	hua4	/speech/talk/words/
喂	喂	wei4	/(on telephone) Hello! Hey!/
在	在	zai4	/to be present/to be at (a place)/
就	就	jiu4	/the very one (indicating verification of someone mentioned before)/
哪	哪	na3	/which/
位	位	wei4	/(a polite measure for people)/
下午	下午	xia4 wu3	/afternoon/
時間	时间	shi2 jian1	/time/
几	几	ji1	/some/a few (an indefinite number, usually less than ten)/
問題	问题	wen4 ti2	/question/problem/
要	要	yao4	/will/be going to/
開會	开会	kai1 hui4	/have a meeting/
開	开	kai1	/to hold (a meeting, party, etc.)/
上午	上午	shang4 wu3	/morning/
節	节	jie2	/(a measure word for class period)/
課	课	ke4	/class/lesson/
年級	年级	nian2 ji2	/grade in school/
考試	考试	kao3 shi4	/to give or take a test/test/
考	考	kao3	/to give or take a test/
以後	以后	yi3 hou4	/after/
有空兒	有空儿	you3 kongr4	/to have free time/
要是	要是	yao4 shi4	/if/
方便	方便	fang1 bian4	/convenient/
到去	到去	dao4 qu4	/to go to (a place) (dao4 ... qu4)/
辦公室	办公室	ban4 gong1 shi4	/office/
行	行	xing2	/all right/O.K./
沒問題	没问题	mei2 wen4 ti2	/no problem/
等	等	deng3	/to wait/to wait for/
不客氣	不客气	bu2 ke4 qi4	/You are welcome./Don't be (so) polite./
客氣	客气	ke4 qi4	/polite/
