賣	卖	mai4	/to sell/
裙子	裙子	qun2 zi5	/skirt/
大衣	大衣	da4 yi1	/overcoat/
夾克	夹克	jia1 ke4	/jacket/
外套	外套	wai4 tao4	/coat/jacket/
西裝	西装	xi1 zhuang1	/suit/
毛衣	毛衣	mao2 yi1	/sweater/
卹衫	恤衫	xu4 shan1	/T-shirt (as T-恤衫）/
戴	戴	dai4	/to wear (hat, eyeglasses, etc.)/
帽子	帽子	mao4 zi5	/hat/
頂	顶	ding3	/(a measure word for hat)/
襪子	袜子	wa4 zi5	/socks/
長	长	chang2	/long/
短	短	duan3	/short/
藍	蓝	lan2	/blue/
綠	绿	lu:4	/green/
紫	紫	zi3	/purple/
粉紅色	粉红色	fen3 hong2 se4	/pink/
橘紅色	橘红色	ju2 hong2 se4	/orange/
灰	灰	hui1	/gray/
