辦公室	办公室	ban4 gong1 shi4	/office/
北京	北京	bei3 jing1	/Beijing (capital of People's Republic of China)/
博物館	博物馆	bo2 wu4 guan3	/museum/
廁所	厕所	ce4 suo3	/toilet/lavatory/
城	城	cheng2	/city walls/city/town/
大學	大学	da4 xue2	/university/
單位	单位	dan1 wei4	/a unit/
電話	电话	dian4 hua4	/telephone/phone call/
電影院	电影院	dian4 ying3 yuan4	/cinema/movie theater/
飯店	饭店	fan4 dian4	/restaurant/
飛機場	飞机场	fei1 ji1 chang3	/airport/
公安局	公安局	gong1 an1 ju2	/Public Security Bureau/
公園	公园	gong1 yuan2	/a public park/
工作	工作	gong1 zuo4	/job/work/construction/work/task/
火車站	火车站	huo3 che1 zhan4	/train station/
傢	家	jia1	/furniture/tool/
加州	加州	jia1 zhou1	/California/
教堂	教堂	jiao4 tang2	/church/chapel/
旅館	旅馆	lu:3 guan3	/hotel/
哪兒	哪儿	na3 er5	/where/
哪兒	哪儿	na3 er5	/where/
南京	南京	nan2 jing1	/Nanjing (city in China)/
那兒	那儿	nar4	/there/
紐約	纽约	niu3 yue1	/New York/
汽車站	汽车站	qi4 che1 zhan4	/bus stop/
請問	请问	qing3 wen4	/may I ask.../
商店	商店	shang1 dian4	/store/shop/
上海	上海	shang4 hai3	/Shanghai/
太	太	tai4	/highest/greatest/too (much)/very/extremely/
圖書館	图书馆	tu2 shu1 guan3	/library/
學	学	xue2	/learn/study/science/-ology/
醫院	医院	yi1 yuan4	/hospital/
郵局	邮局	you2 ju2	/post office/
遠	远	yuan3	/far/distant/remote/
在	在	zai4	/(located) at/in/exist/
這兒	这儿	zher4	/here/
住	住	zhu4	/to live/to dwell/to reside/to stop/
人	人	ren2	/man; person; people/
曼哈頓	曼哈顿	Man4ha1dun4	/Manhattan/
舊金山	旧金山	Jiu4jin1shan1	/San Francisco (city in California)/
