這	这	zhe4	/this; these/
那	那	na4	/that; those/
同志	同志	tong2zhi4	/comrade/
人	人	ren2	/man; person; people/
愛人	爱人	ai4ren5	/spouse; husband; wife; sweetheart/
姓	姓	xing4	/surname; family name; name/
名字	名字	ming2zi5	/(a person's) name/
小姐	小姐	xiao3jie5	/young lady; miss/
先生	先生	xian1sheng5	/sir; mister; teacher; (title of respect)/
太太	太太	tai4tai5	/married woman; Mrs.; Madam; wife/
華僑	华侨	hua2qiao2	/overseas Chinese/
地方	地方	di4fang5	/area; place; local/
夫人	夫人	fu1ren5	/lady; madam; Mrs./
是	是	shi4	/is; are; am; yes; to be/
叫	叫	jiao4	/to (be) call(ed)/
老	老	lao3	/old (of people)/
小	小	xiao3	/small; tiny; few; young/
中國	中国	zhong1guo2	/China; Chinese/
北京	北京	bei3jing1	/Beijing (capital of People's Republic of China)/
上海	上海	shang4hai3	/Shanghai/
英國	英国	ying1guo2	/England; Britain; English/
美國	美国	mei3guo2	/America; American; United States of America; USA/
誰	谁	shei2	/who/
甚么	什么	shen2me5	/what?; who?; something; anything/
哪	哪	na3	/how; which/
吧	吧	ba5	/(modal particle indicating polite suggestion); ...right?; ...OK?/
噢	噢	o1	/Oh!/
請進	请进	qing3 jin4	/come in ('please enter')/
請問	请问	qing3wen4	/may I ask.../
貴姓	贵姓	gui4 xing4	/what is your name? (polite:'honorable surname')/
