師傅	师傅	shi1fu5	/master; a qualified worker/
鐵	铁	tie3	/iron/
工廠	工厂	gong1chang3	/factory/
工人	工人	gong1ren2	/worker/
小學	小学	xiao3xue2	/primary school/
男	男	nan2	/male/
已經	已经	yi3jing1	/already/
解放軍	解放军	jie3fang4jun1	/People's Liberation Army (i.e. the Chinese army)/
解放	解放	jie3fang4	/liberation; to liberate/
百貨商店	百货商店	bai3 huo4 shang1 dian4	/'hunderd goods shop'/i.e. department store/
商店	商店	shang1dian4	/store; shop/
當	当	dang1	/to be; to act as; manage; withstand; when; during; ought; should; match equally; equal; same; obstruct; just at (a time or place); on the spot; right; just at/
售貨員	售货员	shou4huo4yuan2	/salesperson/
姐妹	姐妹	jie3mei4	/sisters/
弟弟	弟弟	di4di5	/younger brother/
大學	大学	da4xue2	/university/
農	农	nong2	/agriculture/
搞	搞	gao3	/to do; to make; to go in for; to set up; to get hold of; to take care of/
水利	水利	shui3li4	/water conservancy; irrigation works/
干部	干部	gan4bu4	/a cadre (i.e. manager, staff, officer, etc.)/
錯	错	cuo4	/mistake; error; blunder; fault; cross; uneven; wrong/
不錯	不错	bu2 cuo4	/correct/right/not bad/pretty good/
文化	文化	wen2hua4	/culture; civilization; cultural/
水平	水平	shui3ping2	/level (of achievement, etc.); standard/
高	高	gao1	/high; tall/
對象	对象	dui4xiang4	/target; object; partner; boyfriend; girlfriend/
做	做	zuo4	/to do; to make; to produce/
哥哥	哥哥	ge1ge5	/older brother/
為	为	wei4	/because of; for; to/
著急	着急	zhao2ji2	/worry; feel anxious/
外語	外语	wai4yu3	/foreign language/
替	替	ti4	/to substitute for; to take the place of; to replace; for; on behalf of; to stand in for/
星期日	星期日	xing1qi1ri4	/Sunday/
星期天	星期天	xing1qi1tian1	/Sunday/
星期	星期	xing1qi1	/week/
給	给	gei3	/for/for the benefit of/
辦	办	ban4	/to do; to manage; to handle; to go about; to run; to set up; to deal with/
辦事	办事	ban4shi4	/to handle (affairs); to work/
好久不見	好久不见	hao3 jiu3 bu2 jian4	/long time no see/
單位	单位	dan1wei4	/a unit; unit (as in unit of measure)/
好象	好象	hao3 xiang4	/seemingly/as if/
生產隊	生产队	sheng1chan3dui4	/production team/
生產	生产	sheng1chan3	/to produce; manufacture/
大隊	大队	da4dui4	/group; a large body of; production brigade/
机會	机会	ji1hui4	/opportunity; chance; occasion/
介紹	介绍	jie4shao4	/to present; introduction; to introduce/
給人介紹	给人介绍	gei3 ren2 jie4 shao4	/effect an introduction for somebody/
晚	晚	wan3	/evening; night; late/
真的	真的	zhen1 de5	/be true/
書店	书店	shu1dian4	/bookstore/
人民日報	人民日报	ren2min2ri4bao4	/Renmin Ribao (People's Daily)/
公安局	公安局	o1gan1ju2	/Public Security Bureau/
別	别	bie2	/don't (negative imperative)/
叫	叫	jiao4	/tell/order/
中學	中学	zhong1xue2	/middle school/
