貝	贝	bei4	/cowries/shell/valuables/shellfish/
匕	匕	bi3	/dagger/ladle/
陳	陈	chen2	/a surname/arrange/exhibit/narrate/tell/old/stale/to state/to display/to explain/
國	国	guo2	/country/state/nation/
老師	老师	lao3shi1	/teacher/
哪	哪	na3	/how/which/
那	那	na4	/that/those/
您	您	nin2	/you (formal)/
人	人	ren2	/man/person/people/
日	日	ri4	/Japan/day/sun/date/day of the month/
誰	谁	shei2	/who/
生	生	sheng1	/to be born/to give birth/life/to grow/
十	十	shi2	/ten/10/
矢	矢	shi3	/arrow/dart/
是	是	shi4	/is/are/am/yes/to be/
她	她	ta1	/she/her/
外婆	外婆	wai4po2	/(informal) mother's mother/maternal grandmother/
外語	外语	wai4yu3	/foreign language/
醫生	医生	yi1sheng1	/doctor/
玉	玉	yu4	/jade/
者	者	zhe3	/-ist, -er (person)/person (who does sth)/
這	这	zhe4	/this/these/
中	中	zhong1	/within/among/in/middle/center/while (doing sth)/during/China/Chinese/
中國	中国	zhong1guo2	/China/Chinese/
