點	点	dian3	/o'clock/(a measure word)/
食堂	食堂	shi2 tang2	/dining hall/
差	差	cha4	/short of/to lack/
分	分	fen1	/minute/(a measure word)/
刻	刻	ke4	/quarter (hour)/(a measure word)/
上課	上课	shang4 ke4	/to attend class/
課	课	ke4	/subject/class/lesson/
下課	下课	xia4 ke4	/class is over/
以後	以后	yi3 hou4	/later on/in the future/
事兒	事儿	shir4	/business/thing/
回	回	hui2	/to go back/to return/
跟	跟	gen1	/to follow/with/
一起	一起	yi4 qi3	/together/
電影	电影	dian4 ying3	/movie/film/
咖啡館	咖啡馆	ka1 fei1 guan3	/cafe/coffee shop/
咖啡	咖啡	ka1 fei1	/coffee/
半	半	ban4	/half/
啊	啊	a1	/(interj.)/ah/
等	等	deng3	/to wait/
走	走	zou3	/to walk/
路	路	lu4	/road/way/
下班	下班	xia4 ban1	/to come or go or get off work/
電影院	电影院	dian4 ying3 yuan4	/cinema/movie theater/
上班	上班	shang4 ban1	/to go to work/
表	表	biao3	/a watch/
鐘	钟	zhong1	/clock/bell/
以前	以前	yi3 qian2	/before/in the past/ago/
