服務員	服务员	fu2 wu4 yuan2	/waiter/waitress/server/
杯	杯	bei1	/cup/a measure word/
小姐	小姐	xiao3 jie5	/young lady/miss/
喜歡	喜欢	xi3 huan5	/to like/to be fond of/
花茶	花茶	hua1 cha2	/scented tea/
紅茶	红茶	hong2 cha2	/black tea/
桔子水	桔子水	ju2 zi5 shui3	/orange juice/
啤酒	啤酒	pi2 jiu3	/beer/
民歌	民歌	min2 ge1	/folk song/
古典	古典	gu3 dian3	/classical/
音樂	音乐	yin1 yue4	/music/
歌兒	歌儿	ger1	/song/
要	要	yao1	/to want/to be going to/must/
紅	红	hong2	/red/
還是	还是	hai2 shi4	/or/
桔子	桔子	ju2 zi5	/orange/
水	水	shui3	/water/
瓶	瓶	ping2	/bottle/(a measure word)/
聽	听	ting1	/to listen/
現代	现代	xian4 dai4	/modern/
唱	唱	chang4	/to sing/
讓	让	rang4	/to let/to ask/
別	别	bie2	/don't/do not/
枝	枝	zhi1	/branch/(a measure word)/
蘋果	苹果	ping2 guo3	/apple/
香蕉	香蕉	xiang1 jiao1	/banana/
葡萄	葡萄	pu2 tao5	/grape/
唱片	唱片	chang4 pian4	/(vinyl) record/LP/
綠茶	绿茶	lu:4 cha2	/green tea/
