後邊	后边	hou4 bian1	/back/rear/behind/
小	小	xiao3	/small/little/
花園	花园	hua1 yuan2	/garden/
房子	房子	fang2 zi5	/house/
客廳	客厅	ke4 ting1	/drawing room (room for arriving guests)/living room/
旁邊	旁边	pang2 bian1	/lateral/side/
書房	书房	shu1 fang2	/study (i.e. the kind of room)/
椅子	椅子	yi3 zi5	/chair/
少	少	shao3	/few/
桌子	桌子	zhuo1 zi5	/table/desk/
上邊	上边	shang4 bian5	/top/on/over/above/
總是	总是	zong3 shi4	/always/
總	总	zong3	/always/
整理	整理	zheng3 li3	/to put in order/to straighten up/to arrange/
廚房	厨房	chu2 fang2	/kitchen/
對面	对面	dui4 mian4	/opposite/
幫助	帮助	bang1 zhu4	/to help/
幫	帮	bang1	/to help/
餐廳	餐厅	can1 ting1	/dining-hall/
左邊	左边	zuo3 bian1	/left/
裡邊	里边	li3 bian1	/(n) inside/
房間	房间	fang2 jian1	/room/
臥室	卧室	wo4 shi4	/bedroom/
洗澡	洗澡	xi3 zao3	/to take a bath/
怎麼樣	怎么样	zen3 me5 yang4	/how?/how is that...?/
洗澡間	洗澡间	xi3 zao3 jian1	/bathroom/
前邊	前边	qian2 bian1	/(n) the area in front of sth/
右邊	右边	you4 bian1	/right (as opposed to left)/
窗戶	窗户	chuang1 hu5	/window/
外邊	外边	wai4 bian5	/(n) outside/
下邊	下边	xia4 bian1	/bottom/below/under/
中間	中间	zhong1 jian1	/middle/
套	套	tao4	/(a measure word, a set of something)/
把	把	ba3	/(a measure word)/
