農村	农村	nong2 cun1	/countryside/
農民	农民	nong2 min2	/peasant/
火車	火车	huo3 che1	/train/
鍛煉	锻炼	duan4 lian4	/to do physical training/
難	难	nan2	/difficult/
生詞	生词	sheng1 ci2	/new word/
詞	词	ci2	/words/
念	念	nian4	/to read aloud/
练习	练习	lian4 xi2	/to practice/
懂	懂	dong3	/to understand/
安娜	安娜	an1 na4	/Anna/
王書文	王书文	wang2 shu1 wen2	/Wang Shuwen (personal name)/
點心	点心	dian3 xin1	/light refreshments/pastry/
回答	回答	hui2 da2	/to answer/to reply/
些	些	xie1	/(a measure word)/some/
認真	认真	ren4 zhen1	/conscientious/serious/in earnest/
