開始	开始	kai1 shi3	/begin/start/
大使館	大使馆	da4 shi3 guan3	/embassy/
大使	大使	da4 shi3	/an ambassador/an envoy/
招待會	招待会	zhao1 dai4 hui4	/(press) conference/reception/
酒	酒	jiu3	/wine/liquor/spirits/
嚐	尝	chang2	/to taste/
茅臺酒	茅台酒	mao2 tai2 jiu3	/maotai (a Chinese liquor)/
為	为	wei2	/for/to/
健康	健康	jian4 kang1	/health/
乾杯	干杯	gan1 bei1	/to drink a toast/to propose a toast/here's to/
友誼	友谊	you3 yi4	/friendship/
葡萄酒	葡萄酒	pu2 tao2 jiu3	/(grape) wine/
葡萄	葡萄	pu2 tao5	/grape/
菜	菜	cai4	/dish (type of food)/vegetables/
筷子	筷子	kuai4 zi5	/chopsticks/
試	试	shi4	/to try/
文化	文化	wen2 hua4	/culture/
參贊	参赞	can1 zan4	/diplomatic officer/attache/
夫人	夫人	fu1 ren5	/lady/madam/Mrs./
又	又	you4	/again/
大家	大家	da4 jia1	/all/everybody/
到	到	dao4	/to go/to arrive/to reach/
樓	楼	lou2	/storied building/floor/
李	李	li3	/(a surname) Li/
白蘭地	白兰地	bai2 lan2 di4	/brandy/
香檳酒	香槟酒	xiang1 bin1 jiu3	/champagne/
武官	武官	wu3 guan1	/military attache/
一秘	一秘	yi2 mi4	/first secretary/
病	病	bing4	/ailment/sickness/illness/disease/fall ill/sick/defect/
小學生	小学生	xiao3 xue2 sheng1	/(n) student in primary school; schoolchild/
