飛機	飞机	fei1 ji1	/airplane/
要	要	yao1	/will/be going to/
起飛	起飞	qi3 fei1	/to take off (in an airplane)/
機場	机场	ji1 chang3	/airport/
分別	分别	fen1 bie2	/to part/to separate/
願意	愿意	yuan4 yi4	/willing (to do sth)/
離開	离开	li2 kai1	/to depart/to leave/
見面	见面	jian4 mian4	/meet/see (someone)/
見	见	jian4	/to see/to meet/
所以	所以	suo3 yi3	/therefore/as a result/so/
進步	进步	jin4 bu4	/progress/advance/
努力	努力	nu3 li4	/great effort/strive/try hard/
照相	照相	zhao4 xiang4	/take a photograph/
站	站	zhan4	/to stand/
緊	紧	jin3	/close/tight/taut/
上	上	shang4	/to get on/to get into/to board/
注意	注意	zhu4 yi4	/(pay) attention (to)/
身體	身体	shen1 ti3	/(human) body/health/
放心	放心	fang4 xin1	/to set one's mind at rest/to be at ease/to rest/
忘	忘	wang4	/to forget/
難過	难过	nan2 guo4	/sad/
明年	明年	ming2 nian2	/next year/
夏天	夏天	xia4 tian1	/summer/
秋天	秋天	qiu1 tian1	/autumn/
一路平安	一路平安	yi2 lu4 ping2 an1	/to have a pleasant journey/bon voyage/
汽車	汽车	qi4 che1	/car/automobile/
船	船	chuan2	/a boat/vessel/ship/
叫	叫	jiao4	/to hire/to call (a taxi)/
送行	送行	song4 xing2	/to see someone off/
旅行	旅行	lu:3 xing2	/travel/
中國民航	中国民航	zhong1 guo2 min2 hang2	/General Administration of Civil Aviation of China (CAAC)/
