貴姓	贵姓	gui4 xing4	/what is your name?/
請問	请问	qing3 wen4	/may I ask.../
問	问	wen4	/to ask/
留學生	留学生	liu2 xue2 sheng1	/student studying abroad/(foreign) exchange student/
姓	姓	xing4	/surname/family name/name/
叫	叫	jiao4	/to (be) call(ed)/
外語	外语	wai4 yu3	/foreign language/
學院	学院	xue2 yuan4	/college/educational institute/school/faculty/
學生	学生	xue2 sheng5	/student/
學習	学习	xue2 xi2	/to learn/to study/
學	学	xue2	/learn/study/
丁雲	丁云	ding1 yun2	/Ding Yun (a personal name)/
小姐	小姐	xiao3 jie5	/young lady/miss/
女士	女士	nu:3 shi4	/lady/madam/
同志	同志	tong2 zhi4	/comrade/
英國	英国	ying1 guo2	/England/Britain/English/
朝鮮	朝鲜	chao2 xian3	/Korea/North Korea/
