對不起	对不起	dui4 bu5 qi3	/I'm sorry/pardon me/forgive me/
說	说	shuo1	/to speak/to say/
我	我	wo3	/I/me/myself/
人	人	ren2	/man/person/people/
美國	美国	mei3 guo2	/America/American/United States of America/USA/
請問	请问	qing3 wen4	/may I ask.../
英文	英文	ying1 wen2	/English (language)/
不	不	bu4	/(negative prefix)/not/no/
嗎	吗	ma5	/(question tag)/
普通話	普通话	pu3 tong1 hua4	/Mandarin (common language)/Putonghua (common speech of the Chinese language)/
一點兒	一点儿	yi1 dianr3	/a bit/a little/
文	文	wen2	/language/culture/writing/formal/literary/
請	请	qing3	/to ask/to invite/please (do sth)/to treat (to a meal, etc)/to request/
問	问	wen4	/to ask/
話	话	hua4	/dialect/language/spoken words/speech/talk/words/conversation/what someone said/
再見	再见	zai4 jian4	/good bye/
謝謝	谢谢	xie4 xie5	/to thank/
是	是	shi4	/is/are/am/yes/to be/
你好	你好	ni3 hao3	/hello/how are you/
很	很	hen3	/very/extremely/
好	好	hao3	/good/well/
不是	不是	bu2 shi4	/(v) not be/
中國	中国	zhong1 guo2	/China/Chinese/
可是	可是	ke3 shi4	/but/however/
你呢	你呢	ni3 ne5	/how about (particle)/
明白	明白	ming2 bai5	/clear/to understand/to realize/
什麼	什么	shen2 me5	/what?/who?/something/anything/
那兒	那儿	nar3	/where/
在	在	zai4	/(located) at/in/exist/
街	街	jie1	/street/
這兒	这儿	zher4	/here/
那兒	那儿	nar4	/there/
想	想	xiang3	/to think/to believe/to suppose/to wish/to want/to miss/
買	买	mai3	/buy/
知道	知道	zhi1 dao5	/know/be aware of/
吃	吃	chi1	/eat/
東西	东西	dong1 xi5	/thing/person/
喝	喝	he1	/my goodness/to drink/
