一路順風	一路顺风	yi1 lu4 shun4 feng1	/have a pleasant journey/
早	早	zao3	/early/morning/
您	您	nin2	/you (formal)/
空	空	kong4	/emptied/leisure/
請	请	qing3	/to ask/to invite/please (do sth)/to treat (to a meal, etc)/to request/
風	风	feng1	/wind/
順	顺	shun4	/favorable/
月	月	yue4	/moon/month/
度假	度假	du4 jia4	/go on holiday/
荳糕	豆糕	dou4 gao1	/bean cake/
回來	回来	hui2 lai5	/return/come back/
下	下	xia4	/under/lower/below/
位	位	wei4	/(measure word for persons)/
還是	还是	hai2 shi4	/or/still/nevertheless/
冷	冷	leng3	/cold/
是吧	是吧	shi4 ba1	/isn't it?/
熱	热	re4	/heat/to heat up/fervent/hot (of weather)/warm up/
有意思	有意思	you3 yi4 si5	/interesting/
可惜	可惜	ke3 xi1	/it is a pity/what a pity/(it's) too bad/
天氣	天气	tian1 qi4	/weather/
美	美	mei3	/America/beautiful/
地方	地方	di4 fang5	/area/place/local/
把	把	ba3	/to take hold of/
能	能	neng2	/can/may/capable/able/
不好意思	不好意思	bu4 hao3 yi4 si5	/feel embarrassed/be ill at ease/find it embarrassing (to do sth)/
同意	同意	tong2 yi4	/to agree/to consent/to approve/
需要	需要	xu1 yao4	/to need/to want/to demand/needs/to require/
把這個給	把这个给	ba3 zhe4 ge4 gei3	/give this to/
每天都	每天都	mei3 tian1 dou1	/every day/
都	都	dou1	/all/
菜	菜	cai4	/dish (type of food)/vegetables/
好吃	好吃	hao3 chi1	/tasty/delicious/
什麼東西	什么东西	shen2 me5 dong1 xi1	/anything/
今年	今年	jin1 nian2	/this year/
多大	多大	duo1 da4	/how big/how much/how old/etc./
好喝	好喝	hao3 he1	/delicious (drinks)/
