銀行	银行	yin2 hang2	/bank/
家	家	jia1	/a person engaged in a certain art or profession/
公司	公司	gong1 si1	/(business) company/
號碼	号码	hao4 ma3	/number/
打電話	打电话	da3 dian4 hua4	/to make a telephone call/
電話簿	电话簿	dian4 hua4 bu4	/phone book/
郵局	邮局	you2 ju2	/post office/
所	所	suo3	/actually/place/
學	学	xue2	/learn/study/
旁邊	旁边	pang2 bian1	/lateral/side/
米	米	mi3	/meter/
在找	在找	zai4 zhao3	/looking for/search/
公里	公里	gong1 li3	/kilometer/
舒服	舒服	shu1 fu5	/comfortable/
醫院	医院	yi1 yuan4	/hospital/
向	向	xiang4	/towards/
郵票	邮票	you2 piao4	/(postage) stamp/
拐	拐	guai3	/to turn/
沒有問題	没有问题	mei2 you3 wen4 ti2	/no problem/
近	近	jin4	/near/close (to)/approximately/
沿著	沿着	yan2 zhe5	/along/
葯房	葯房	yao4 fang2	/pharmacy/
真糟糕	真糟糕	zhen1 zao1 gao1	/that's too bad/
張	张	zhang1	/(m) ticket, flat things/
票	票	piao4	/bank note/ticket/
比	比	bi3	/to compare/to contrast/
月台	月台	yue4 tai2	/platform/
快車	快车	kuai4 che1	/express (train, bus, etc.)/
大學生	大学生	da4 xue2 sheng5	/university student/
