歡迎光臨	欢迎光临	huan1 ying2 guang1 lin2	/welcome/
中午	中午	zhong1 wu3	/noon/midday/
星期天	星期天	xing1 qi1 tian1	/Sunday/
只	只	zhi3	/only/merely/just/but/
火車	火车	huo3 che1	/train/
綠	绿	lu:4	/green/
附近	附近	fu4 jin4	/nearby/
礦泉水	矿泉水	kuang4 quan2 shui3	/mineral spring water/
來	来	lai2	/to come/
城市	城市	cheng2 shi4	/city/town/
船	船	chuan2	/a boat/vessel/ship/
地圖	地图	di4 tu2	/map/
前邊	前边	qian2 bian1	/(n) the area in front of sth/
周末	周末	zhou1 mo4	/weekend/
畫	画	hua4	/draw/
雨	雨	yu3	/rain/
夏天	夏天	xia4 tian1	/summer/
冬天	冬天	dong1 tian1	/winter/
雪	雪	xue3	/snow/
下	下	xia4	/falling/
