賞	赏	shang3	/appreciate/
花	花	hua1	/flower/
一點少意思	一点少意思	yi1 dian3 shao3 yi4 si1	/a small gift/
故宮	故宫	gu4 gong1	/The Imperial Palace/
博物館	博物馆	bo2 wu4 guan3	/museum/
擠	挤	ji3	/crowded/to squeeze/
聽說	听说	ting1 shuo1	/to hear told/
產品	产品	chan3 pin3	/goods/merchandise/product/
帶來	带来	dai4 lai2	/to bring/to bring about/to produce/
主意	主意	zhu3 yi5	/plan/idea/decision/
件	件	jian4	/a measure word for thing, clothes, item/
行李	行李	xing2 li5	/luggage/
電梯	电梯	dian4 ti1	/elevator/
樓	楼	lou2	/house with more than 1 story/storied building/floor/
鑰匙	钥匙	yao4 shi5	/key/
準備好	准备好	zhun3 bei4 hao3	/ready (prepared)/
冰	冰	bing1	/ice/
醫生	医生	yi1 sheng1	/doctor/
上次	上次	shang4 ci4	/last time/
替	替	ti4	/on behalf of/
