零錢	零钱	ling2 qian2	/change (said of money)/
現金	现金	xian4 jin1	/cash/
旅行票	旅行票	lu:3 xing2 piao4	/traveler's check/
簽	签	qian1	/sign one's name/
張	张	zhang1	/(a measure word)/(a surname)/open up/
填	填	tian2	/to fill in/
表格	表格	biao3 ge2	/form/table/
音樂	音乐	yin1 yue4	/music/
小說	小说	xiao3 shuo1	/novel/fiction/
愛好	爱好	ai4 hao4	/hobby/
古典	古典	gu3 dian3	/classical/
聽	听	ting1	/listen/hear/obey/
早飯	早饭	zao3 fan4	/breakfast/
起床	起床	qi3 chuang2	/to get up/
跑步	跑步	pao3 bu4	/to run/
運動	运动	yun4 dong4	/exercise/sports/
床	床	chuang2	/bed/couch/
太極拳	太极拳	tai4 ji2 quan2	/a kind of traditional Chinese shadowboxing (tai chi chuan)/
了不起	了不起	liao3 bu5 qi3	/amazing/terrific/extraordinary/
錶	錶	biao3	/watch/
紀念品	纪念品	ji4 nian4 pin3	/(n) souvenir/
一般	一般	yi4 ban1	/same/ordinary/common/general/
巾	巾	jin1	/towel/
絲	丝	si1	/silk/thread/trace/
地址	地址	di4 zhi3	/address/
流利	流利	liu2 li4	/fluent/
