戶頭	户头	hu4 tou2	/account/
自動提款機	自动提款机	zi4 dong4 ti2 kuan3 ji1	/ATM/
結餘	结余	jie2 yu2	/balance/
銀行	银行	yin2 hang2	/bank/
銀行卡	银行卡	yin2 hang2 ka3	/bank card/
存折	存折	cun2 zhe2	/bankbook/
換開	换开	huan4 kai1	/break (a large bill)/make change/
現金	现金	xian4 jin1	/cash/
兌現	兑现	dui4 xian4	/cash (a check)/
兌現枝票	兑现支票	dui4 xian4 zhi1 piao4	/cash a check/
出納窗口	出纳窗口	chu1 na4 chuang1 kou3	/cashier's window/
收	收	shou1	/charge/
收費	收费	shou1 fei4	/charge/
查	查	cha2	/check/
手續費	手续费	shou3 xu4 fei4	/commission/
存錢	存钱	cun2 qian2	/deposit money/
換	换	huan4	/change/
兌換處	兑换处	dui4 huan4 chu3	/exchange bureau/
兌換率	兑换率	dui4 huan4 lu:4	/exchange rate/
外幣	外币	wai4 bi4	/foreign currency/
用現金	用现金	yong4 xian4 jin1	/in cash/
大票子	大票子	da4 piao4 zi3	/large bills/
存一筆錢	存一笔钱	cun2 yi1 bi3 qian2	/make a deposit/
開	开	kai1	/open/
付賬	付账	fu4 zhang4	/pay a bill/
密碼	密码	mi4 ma3	/PIN/
人民幣	人民币	ren2 min2 bi4	/RMB (Chinese currency)/
美元	美元	mei3 yuan2	/dollar (U. S. currency)/
存款	存款	cun2 kuan3	/savings/
零錢	零钱	ling2 qian2	/small money/
出納	出纳	chu1 na4	/teller/
旅行支票	旅行支票	lu:3 xing2 zhi1 piao4	/traveller's check/
窗戶	窗户	chuang1 hu5	/window/
取錢	取钱	qu3 qian2	/withdraw money/
