"拼音排序","編號","詞彙","拼音","等級","詞類","英文解釋"
17,"1386","按時","ànshí ","I","(Adv)","on time/schedule"
19,"2543","暗中","ànzhōng ","I","(Adv)","in secret, surreptitiously, in the dark"
28,"0550","白（白）","bái(bái)","I","(Adv)","in vain, without results"
125,"2067","畢竟","bìjìng ","I","(Adv)","after all, when all is said and done"
131,"3353","邊","biān ","I","(Adv)","two or more bi1n used before verbs to express the simultaneous progression or development of two or more actions"
134,"1291","便","biàn ","I","(Adv)","then, in that case, as early/little as, as soon as"
157,"1004","並","bìng ","I","(Adv)","actually, truly"
174,"0135","不大","búdà ","I","(Adv)","not very, not too"
178,"0169","不斷","búduàn ","I","(Adv)","unceasingly, continuously"
180,"0164","不過","búguò ","I","(Adv)","only, merely"
181,"0165","不過","búguò ","I","(Adv)","no more than"
182,"0149","不見得","bújiàndé ","I","(Adv)","not necessarily/likely"
187,"0141","不再","búzài ","I","(Adv)","no more/longer"
199,"0157","不得不","bùdébù ","I","(Adv)","cannot but, have to"
214,"0155","不停","bùtíng ","I","(Adv)","continuously"
216,"0159","不許","bùxŭ ","I","(Adv)","disallow"
218,"0140","不由得","bùyóude ","I","(Adv)","can't help"
221,"0137","不只","bùzhǐ ","I","(Adv)","not only, not merely"
223,"0154","不准","bùzhŭn ","I","(Adv)","disallow"
251,"2261","曾","céng ","I","(Adv)","once, ever, before"
252,"2262","曾經","céngjīng ","I","(Adv)","once, ever"
322,"0722","成天","chéngtiān ","I","(Adv)","all day long, all the time"
332,"3161","遲早","chízăo ","I","(Adv)","sooner or later"
342,"1518","重","chóng ","I","(Adv)","again,once more"
345,"1526","重新","chóngxīn ","I","(Adv)","again,anew,afresh"
351,"1244","初","chū ","I","(Adv)","first, just"
356,"1246","初步","chūbù ","I","(Adv)","initially,preliminarily,tentatively"
383,"2099","處處","chùchù ","I","(Adv)","everywhere,in all respects"
415,"1951","從","cóng ","I","(Adv)","usually"
416,"1953","從不","cóngbù ","I","(Adv)","never"
417,"1954","從此","cóngcĭ","I","(Adv)","henceforth,thereupon"
418,"1955","從沒","cóngméi ","I","(Adv)","not yet"
420,"1952","從小","cóngxiăo ","I","(Adv)","from childhood, as a child"
457,"0103","大都","dàdōu ","I","(Adv)","for the most part, mostly"
464,"0085","大力","dàlì ","I","(Adv)","with great exertion"
475,"0097","大約","dàyuē ","I","(Adv)","about, around, probably, likely"
478,"0098","大致","dàzhì ","I","(Adv)","roughly"
485,"1358","待會（兒）","dàihuĭ(er) ","I","(Adv)","shortly, in a little while"
496,"2194","單","dān ","I","(Adv)","singly, alone"
509,"2590","當場","dāngchăng ","I","(Adv)","on the spot, then and there"
512,"2587","當面","dāngmiàn ","I","(Adv)","face to face, in one's presence"
527,"1561","倒","dào ","I","(Adv)","(1)actually(2)back, in reverse order"
535,"1562","倒是","dàoshì ","I","(Adv)","actually, contrariwise"
554,"1208","的確","díquè ","I","(Adv)","certainly, surely"
602,"1102","定期","dìngqí ","I","(Adv)","fixed (of time), periodically, regularly"
616,"1863","動不動","dòngbúdòng ","I","(Adv)","easily, at the slightest provocation, frequently, at every turn"
632,"3136","獨自","dúzì ","I","(Adv)","alone, by oneself"
656,"0679","多多","duōduō ","I","(Adv)",
657,"0680","多多少少","duōduōshăoshăo ","I","(Adv)","somewhat, to some extent, more or less"
658,"0677","多少","duōshăo ","I","(Adv)","somewhat, to some extent, more or less"
706,"0245","反覆","fănfù ","I","(Adv)","repeatedly, over and over (again), again and again"
714,"0236","反正","fănzhèng ","I","(Adv)","anyway, anyhow, in any case"
732,"1281","非","fēi ","I","(Adv)","not"
747,"0209","分別","fēnbié ","I","(Adv)","separately, respectively"
749,"1748","紛紛","fēnfēn ","I","(Adv)","in droves, numerous and in great confusion"
811,"0942","改天","găitiān ","I","(Adv)","on some other day"
825,"2881","趕緊","gănjĭn ","I","(Adv)","hurriedly, losing no time"
836,"2492","幹嘛","gànmá","I","(Adv)","why on earth, whatever for"
837,"2489","幹什麼","gànshéme ","I","(Adv)","why"
868,"0625","各","gè ","I","(Adv)","separately, differently"
877,"1657","根本","gēnběn ","I","(Adv)","essence, foundation"
880,"0948","更加","gèngjiā ","I","(Adv)","(even) more"
902,"0601","共","gòng ","I","(Adv)","share with"
903,"0602","共同","gòngtóng ","I","(Adv)","together, jointly"
937,"1121","怪","guài ","I","(Adv)","blame"
960,"0584","光","guāng ","I","(Adv)","solely, merely, only"
965,"0589","光是","guāngshì ","I","(Adv)",
1003,"1179","果然","guŏrán ","I","(Adv)","really, as expected, sure enough"
1004,"2696","過","guò ","I","(Adv)","too, excessively"
1015,"3253","還","hái ","I","(Adv)","even/still more, in addition, passably, fairly, even"
