"拼音排序","編號","詞彙","拼音","等級","詞類","英文解釋"
156,"1003","並","bìng ","I","(Conj)","[formal]and"
160,"1005","並且","bìngqiě ","I","(Conj)","and, besides, moreover"
184,"0167","不論","búlùn ","I","(Conj)","no matter how/who/what/etc."
186,"0139","不用說","búyòngshuō ","I","(Conj)","it goes without saying; needless to say; as a matter of course"
206,"0162","不僅","bùjĭn ","I","(Conj)","not only"
211,"0161","不然","bùrán ","I","(Conj)","otherwise, if not, or else"
212,"0143","不如","bùrú ","I","(Conj)","it would be better to"
375,"1822","除非","chúfēi ","I","(Conj)","only if/when, unless"
409,"0759","此外","cĭwài ","I","(Conj)","besides, in addition, moreover"
506,"0839","但","dàn ","I","(Conj)","but, yet, still, nevertheless, only, merely"
665,"0787","而","ér ","I","(Conj)","and yet"
705,"0237","反而","fănér ","I","(Conj)","on the contrary, instead"
781,"0868","否則","fŏuzé ","I","(Conj)","otherwise, if not, or else"
1016,"3254","還不如","háibùrú ","I","(Conj)","it would be better to"
1019,"3256","還有","háiyŏu  ","I","(Conj)","furthermore, in addition"
1037,"0684","好","hăo ","I","(Conj)","so as to, so that"
1059,"0834","何況","hékuàng ","I","(Conj)","much less, let alone, all the more"
1110,"2655","話說回來","huàshuōhuílái ","I","(Conj)","but then again"
1167,"1127","或者","huòzhě ","I","(Conj)","or, either or"
1170,"1902","基本上","jīběnshàng  ","I","(Conj)","basically"
1186,"0231","及","jí ","I","(Conj)","and"
1195,"0864","即使","jíshĭ ","I","(Conj)","even, even if/though"
1199,"1405","既","jì ","I","(Conj)","both A and B"
1206,"1406","既然","jìrán  ","I","(Conj)","since, as, now that"
1230,"1845","假如","jiărú ","I","(Conj)","if, supposing, in case"
1350,"3077","儘管","jĭnguăn ","I","(Conj)","even though, despite"
1396,"2228","就算","jiùsuàn ","I","(Conj)","even if, granted that"
1398,"2225","就是","jiùshì ","I","(Conj)","quite right, exactly, precisely"
1399,"2226","就是說","jiùshìshuō ","I","(Conj)","that is to say, in other words, namely"
1422,"3103","據說","jùshuō ","I","(Conj)","it is said that..."
1524,"1191","況且","kuàngqiě ","I","(Conj)","moreover, besides, in addition"
1566,"0780","老實說","lăoshíshuō ","I","(Conj)","honestly"
1650,"0435","另外","lìngwài ","I","(Conj)","in addition, besides, moreover"
