"拼音排序","編號","詞彙","拼音","等級","詞類","英文解釋"
46,"0408","半數","bànshù ","I","(Det)","half"
104,"0501","本","běn ","I","(Det)","[formal]this, one's own"
155,"0327","丙","bĭng ","I","(Det)","third, third of the ten Heavenly Stems"
408,"0758","此","cĭ","I","(Det)","[formal]this"
453,"0090","大半","dàbàn ","I","(Det)","more than half"
458,"0092","大多數","dàduōshù ","I","(Det)","most of, the majority of"
465,"0105","大量","dàliàng ","I","(Det)","large quantity, a great deal, considerable, mass"
597,"0022","丁","dīng ","I","(Det)","fourth, fourth of the ten Heavenly Stems"
655,"0678","多半(兒)","duōbàn(er) ","I","(Det)","probably, most likely"
659,"0681","多數","duōshù ","I","(Det)","majority"
807,"2646","該","gāi ","I","(Det)","[formal]that"
1038,"0687","好多","hăoduō ","I","(Det)","many, much"
1229,"0548","甲","jiă ","I","(Det)","first , first of the ten Heavenly Stems"
1433,"2359","絕大部分","juédàbùfèn ","I","(Det)","most of, the majority of"
1624,"1558","倆","liăng ","I","(Det)","two"
1649,"0434","另","lìng ","I","(Det)","another"
1651,"0435","另外","lìngwài ","I","(Det)","another"
1699,"2806","滿","măn ","I","(Det)","entirely, wholly"
1944,"1038","其","qí ","I","(Det)","[formal]its, his, her, their, it, this, that"
1953,"1041","其餘","qíyú ","I","(Det)","others, the rest"
2195,"0259","少數","shăoshù ","I","(Det)","a few"
2318,"1549","首","shŏu ","I","(Det)","[formal]first"
2351,"2958","數","shù ","I","(Det)","[formal]several"
2508,"3177","頭","tóu ","I","(Det)","first, previous"
2655,"2298","無數","wúshù ","I","(Det)","innumerable, countless"
2961,"0021","乙","yĭ","I","(Det)","second, second of the ten Heavenly Stems"
2976,"2905","億","yì ","I","(Det)","hundred million"
3053,"0752","有些","yŏuxiē ","I","(Det)","some"
3227,"3112","整","zhěng ","I","(Det)","put in order, arrange, consolidate, repair, mend, do, to teach a lesson, punish"
14,"0030","八","bā ","B","(Det)","eight"
24,"0467","百","băi ","B","(Det)","hundred"
29,"0257","半","bàn ","B","(Det)","half"
82,"0505","別的","biéde ","B","(Det)","other, another, some other"
105,"1056","部分","bùfèn ","B","(Det)","part, section"
112,"0112","不少","bùshăo ","B","(Det)","not few, many"
193,"0081","大部分/份","dàbùfèn ","B","(Det)","most of, the majority of"
242,"1027","第","dì ","B","(Det)","marker of ordinal numerals"
298,"0406","多","duō ","B","(Det)","more than, much more"
301,"0408","多少","duōshăo ","B","(Det)","somewhat; to some extent"
308,"0023","二","èr ","B","(Det)","two, second"
371,"0375","各","gè ","B","(Det)","each, every"
448,"0421","好幾","hăojǐ ","B","(Det)","quite a few"
455,"0417","好些","hăoxiē ","B","(Det)","quite a lot, a lot of"
469,"0741","後","hòu ","B","(Det)","later, succeeding"
613,"0019","九","jiŭ ","B","(Det)","nine"
731,"0600","兩","liăng ","B","(Det)","two"
738,"1283","零","líng ","B","(Det)","zero"
744,"0145","六","liù ","B","(Det)","six"
793,"0542","每","měi ","B","(Det)","every"
820,"0842","哪","nă ","B","(Det)","which"
826,"0844","哪些","năxiē ","B","(Det)","which"
828,"0579","那","nà ","B","(Det)","that"
834,"0580","那些","nàxiē ","B","(Det)","those"
910,"0018","七","qī ","B","(Det)","seven"
913,"0603","其它","qítā ","B","(Det)","others, the rest, other,else"
914,"0602","其他","qítā ","B","(Det)","others, the rest, other, else"
915,"0601","其中","qízhōng ","B","(Det)","among (which, them, etc.); in (which, it, etc.)"
922,"0069","千","qiān ","B","(Det)","thousand"
925,"0719","前","qián ","B","(Det)","former, preceding"
957,"0359","全","quán ","B","(Det)","all, whole"
958,"0361","全部","quánbù ","B","(Det)","all, whole"
976,"0355","任何","rènhé ","B","(Det)","any"
989,"0039","三","sān ","B","(Det)","three"
994,"0288","四","sì ","B","(Det)","four"
1005,"0646","所有","suǒyǒu ","B","(Det)","all"
1011,"0055","上","shàng ","B","(Det)","preceding, previous"
1026,"0138","什麼","shéme ","B","(Det)","what"
1043,"0034","十","shí ","B","(Det)","ten"
1139,"0369","同","tóng ","B","(Det)","simialr,same"
1178,"1227","萬","wàn ","B","(Det)","ten thousand"
1203,"0137","五","wŭ ","B","(Det)","five"
1221,"0041","下","xià ","B","(Det)","under (condition/fact etc.)"
1294,"1042","許多","xŭduō ","B","(Det)","many, a lot of"
1327,"1370","樣樣","yàngyàng ","B","(Det)","every kind, everything, each and every, all"
1335,"0001","一","yì ","B","(Det)","one"
1339,"0005","一半(兒)","yíbàn(ér) ","B","(Det)","half, in part"
1343,"0004","一切","yíqiè ","B","(Det)","everything"
1356,"0015","一點(兒)","yìdiăn(ér) ","B","(Det)","a bit, a little, a crumb, a fraction"
1362,"0007","一些","yìxiē ","B","(Det)","some, a few"
1382,"0458","有的","yǒude ","B","(Det)"," some"
1496,"1043","這","zhè ","B","(Det)","this"
1501,"1044","這些","zhèxiē ","B","(Det)","these"
89,"1664","敝","bì","A","(Det)","my, our (humble usage)"
216,"0568","次","cì ","A","(Det)","det.: next,second"
409,"2171","當","dāng ","A","(Det)","that very (day, year), the same (day, etc.), that, then"
855,"0626","何","hé ","A","(Det)","which,what"
1178,"0687","局部","júbù ","A","(Det)","part"
1193,"1990","絕大多數","juédàduōshù ","A","(Det)","most of,majority"
