"拼音排序","編號","詞彙","拼音","等級","詞類","英文解釋"
23,"3453","把","bă ","I","(M)","(1) Measure word for a quantity of something that can be held in one hand; (2) Measure word for an action done with the hand to indicate its quickness."
37,"1761","班","bān ","I","(M)","(1) Measure word for scheduled means of transport; (2) Measure word for the work in shifts."
51,"2998","磅","bàng ","I","(M)","pound"
52,"2268","棒","bàng ","I","(M)","Measure word for hitting something with a stick-like stuff."
112,"0303","筆","bĭ","I","(M)","Measure word for : (1) handwriting or painting; (2) a sum of money or an account, etc."
196,"0951","步","bù ","I","(M)","stages in a process"
244,"0370","冊","cè ","I","(M)","volume"
250,"2925","層","céng ","I","(M)","Partial measure word for : (1) the storeys of a building; (2) an outer covering."
280,"3454","場","chăng ","I","(M)","Measure word for the course of an event or certain action."
311,"0720","成","chéng ","I","(M)","a tenth of"
382,"2097","處","chù ","I","(M)","(1) Measure word for a particular landscape or location; (2) Measure word for a part of human body; (3) Individual measure word for a quilt, padded mattress, sheet, etc."
388,"2926","幢","chuáng ","I","(M)","Individual measure word for buildings."
389,"0902","床","chuáng ","I","(M)","Individual measure word for a quilt, padded mattress, sheet, etc."
429,"0115","寸","cùn ","I","(M)","a unit of length equal to one-third decimeter"
439,"0487","打","dă ","I","(M)","a dozen of"
528,"2685","道","dào ","I","(M)","Individual measure word for : (1) fences, doors, walls, etc; (2) strip-shaped things; (3) orders, procedures, questions, etc."
553,"2804","滴","dī ","I","(M)","Partial measure word for a small round or pear-shaped blob of liquid, usually falling."
574,"3455","點","diăn","I","(M)","Partial measure word for suggestion, explanation, etc."
615,"2267","棟","dòng ","I","(M)","Individual measure word for buildings."
639,"1898","堆","duī ","I","(M)","Collective measure word for : (1) a large number of people gathering together; (2) a mass of things in piles."
641,"2426","隊","duì ","I","(M)","Collective measure word for people or fowls in orderly ranks."
653,"2726","頓","dùn ","I","(M)","Measure word for reprimanding or criticizing."
654,"3078","噸","dùn ","I","(M)","ton"
693,"2305","番","fān ","I","(M)","(1)Measure word for the process of certain actions; (2)Individual measure word for the course of any action which takes time and energy; (3)Measure word for kindness, flavour, etc."
797,"1861","副","fù ","I","(M)","Measure word for : (1) two things seen together or associated; (2)facial expressions."
938,"3355","關","guān ","I","(M)","Partial measure word  for levels of activity, such as games."
1093,"0272","戶","hù ","I","(M)","Collective measure word for a household."
1184,"1746","級","jí ","I","(M)","(1)Individual measure word for stairs or steps; (2)Individual measure word for the quality of goods, services; (3)Individual measure word for natural disasters."
1324,"2349","節","jié ","I","(M)","(1) Partial measure word for things with joints, or things that are usually joined; (2) Partial measure word for plants with joints; (3) Partial measure word for vehicles with several sections joined together."
1341,"1108","屆","jiè ","I","(M)","(1)Measure word for regular conferences, sports meets, etc; (2)Measure word for students, graduate students, etc."
1404,"0897","局","jú ","I","(M)","Measure word for the competitions of balls, chesses, etc."
1410,"1033","具","jù ","I","(M)","Measure word for corpses."
1430,"1058","卷","juàn ","I","(M)","Measure word for things in rolls."
1445,"0410","卡","kă ","I","(M)","calorie"
1496,"0073","口","kŏu","I","(M)","(1)Individual measure word for languages. (2)Mouthful, measure word for things kept in the mouth."
1575,"3364","類","lèi ","I","(M)","Collective measure word for a class of persons who have similar characteristics, or things which are alike in some way."
1595,"2079","粒","lì ","I","(M)","Individual measure word for small, hard things, such as sand, grain, and medicine."
1629,"0608","列","liè ","I","(M)","Collective measure word for a line of vehicles or people."
1723,"1272","門","mén ","I","(M)","Individual measure word for discipline, branch of learning, etc."
1749,"3457","面","miàn","I","（M）","Individual measure word for the times of meeting between two persons."
1767,"0629","名","míng ","I","(M)","Individual measure word for people."
1858,"1985","排","pái ","I","(M)","Collective measure word for teeth, things in a row and  bulidings in a line."
1866,"3458","盤","pán","I","(M)","Individual measure word for a chess or any board game, etc."
1881,"1441","盆","pén ","I","(M)","Cotainer measure word for the things in a basin."
1889,"1142","匹","pī ","I","(M)","Measure word for horses, mules, camels, etc."
1891,"0926","批","pī ","I","(M)","Collective measure word for people or goods."
1902,"3008","篇","piān ","I","(M)","Partial measure for a sheet of paper or a leaf (two pages) of a book."
1916,"1088","坪","píng ","I","(M)","An area measure equal to 3.3057 square meter or 36 square feet."
1945,"1038","期","qí","I","(M)","Measure word for newspapers or periodicals, or things that appear by stages."
1956,"1781","起","qĭ","I","(M)","Measure word for unexpected accidents or events."
2062,"1882","圈","quān ","I","(M)","(1) Collective measure word for people or things in a circle; (2) Measure word for certain actions of revolving."
2079,"2615","群","qún ","I","(M)","Collective measure word for a number of people or animals gathering together, or a number of close islands."
2154,"3142","艘","sāo ","I","(M)","Measure word for vessels of considerable size."
2233,"3232","聲","shēng ","I","(M)","Measure word for the sounds such as speaking and shouting that can be heard."
2350,"0949","束","shù ","I","(M)","Collective measure word for things of the same kind fastened together."
2368,"3314","雙","shuāng ","I","(M)","Collective measure word for people in pairs."
2441,"1906","堂","táng ","I","(M)","Measure word for classes."
2442,"3043","趟","tàng ","I","(M)","(1) Measure word for the times of coming and going; (2) Measure word for the times of communications and transport."
2454,"1597","套","tào ","I","(M)","Collective measure word for groups of abstract things."
2462,"3317","題","tí ","I","(M)","Measure word for test items."
2489,"3459","條","tiáo","I","(M)","(1) Measure word for abstract things, such as news and experience; (2) Individual measure word forpeople's lives."
2518,"2127","通","tōng ","I","(M)","Measure word for telephone and call."
2533,"2014","桶","tǒng ","I","(M)","Container measure word for water, oil, etc."
2549,"2739","團","tuán ","I","(M)","(1) Collective measure word forgroups of people; (2) Partial measure word for materials rolled into a round mass."
2739,"3006","箱","xiāng ","I","(M)","box"
