"拼音排序","編號","詞彙","拼音","等級","詞類","英文解釋"
2,"2514","愛好","àihào ","I","(N)","hobby, interest"
5,"2516","愛情","àiqíng ","I","(N)","love (between man and woman)"
6,"2512","愛人","àirén ","I","(N)","lover, sweetheart"
8,"2513","愛心","àixīn ","I","(N)","mercy, benevolence, pity"
24,"0923","把握","băwò ","I","(N)","assurance, certainty"
38,"1701","班機","bānjī ","I","(N)","airliner, regular air service, scheduled flight"
40,"1700","班長","bānzhăng ","I","(N)","class monitor, squad leader, (work) team leader"
44,"0407","半路","bànlù ","I","(N)","halfway, midway"
48,"0406","半夜","bànyè ","I","(N)","midnight, (in) the middle of the night, half a night"
49,"2171","傍晚","bāngwăn ","I","(N)","dusk, nightfall"
50,"2788","榜樣","băngyàng ","I","(N)","example, model"
53,"2269","棒子","bàngzi ","I","(N)","stick,club,cudgel"
55,"0403","包裹","bāoguǒ","I","(N)","bundle, parcel, package"
58,"0402","包裝","bāozhuāng ","I","(N)","packing, packaging, package"
60,"3378","寶寶","băobăo","I","(N)","precious/darling baby"
61,"3376","寶貝","băobèi","I","(N)","treasured object, treasure, darling, baby, cowry"
69,"1303","保險","băoxiăn ","I","(N)","insurance"
72,"1300","保障","băozhàng ","I","(N)","protection, safeguard, indemnification"
74,"1305","保證/証","băozhèng ","I","(N)","guarantee"
81,"2209","報告","bàogào ","I","(N)","report, speech, (student) term paper"
84,"2963","暴力","bàolì ","I","(N)","violence, force"
86,"2212","報社","bàoshè ","I","(N)","newspaper office"
90,"2234","悲劇","bēijù ","I","(N)","tragedy"
92,"1494","背包","bēibāo ","I","(N)","knapsack, rucksack, field pack, shoulder bag, blanket roll"
93,"0405","北部","běibù ","I","(N)","northern part"
94,"0404","北方","běifāng ","I","(N)","north, northern part of country"
95,"1557","倍","bèi ","I","(N)","times, -fold"
98,"1495","背後","bèihòu ","I","(N)","behind, in the rear, behind/at the back"
99,"1497","背景","bèijĭng ","I","(N)","background, backdrop"
100,"1496","背面","bèimiàn ","I","(N)","the reverse side, the wrong side, rear, the back"
101,"3046","輩子","bèizi ","I","(N)","all one's life,lifetime"
106,"0505","本領","běnlĭng","I","(N)","capability, skill, ability"
107,"0502","本人","běnrén ","I","(N)","I, me, myself, oneself, in person"
108,"0503","本土","běntŭ ","I","(N)","one's native country, metropolitan territory"
113,"1117","彼此","bĭcĭ ","I","(N)","each other, one another"
115,"0305","比方","bĭfāng ","I","(N)","analogy, instance, supposition, illustration by example"
117,"2344","筆記","bĭjì ","I","(N)","notes, short sketches"
118,"0310","比較","bĭjiào ","I","(N)","contrast, comparasion"
120,"0309","比例","bĭlì ","I","(N)","proportion, scale"
128,"0484","必要","bìyào ","I","(N)","necessary, indispensable"
