"拼音排序","編號","詞彙","拼音","等級","詞類","英文解釋"
36,"1761","般","bān ","I","(Post)","sort, kind, way"
350,"1243","初","chū ","I","(Post)","at the beginning of, in the early part of"
517,"2580","當中","dāngzhōng ","I","(Post)","[aspect]in the course of"
549,"2342","等等","děngděng ","I","(Post)","and so on, etc"
1241,"2423","間","jiān ","I","(Post)","occasion"
1957,"1782","起","qĭ","I","(Post)","from … on(used after nouns of time and place)"
2269,"1644","時","shí ","I","(Post)","at the time of, while"
2708,"0053","下來","xiàlái  ","I","(Post)","used after a verb to indicate motion toward a lower or nearer position "
2967,"0352","以來","yĭlái ","I","(Post)","since"
2969,"0348","以內","yĭnèi ","I","(Post)","within, less than"
2970,"0346","以上","yĭshàng ","I","(Post)","above"
2972,"0350","以外","yĭwài ","I","(Post)","beyond, outside, other than, except"
2974,"0344","以下","yĭxià ","I","(Post)","under the condition of, under, beneath, below"
3255,"0182","之後","zhīhòu ","I","(Post)","later, behind, at the back of, after"
3257,"0184","之間","zhījiān ","I","(Post)","among, between"
3440,"0469","左右","zuŏyòu ","I","(Post)","nearby, not far away"
231,"0680","的話","dehuà ","B","(Post)","if"
237,"1126","等","děng ","B","(Post)","till"
240,"0630","底","dǐ ","B","(Post)","end of period"
470,"0742","後","hòu ","B","(Post)","after"
635,"1164","開始","kāishǐ ","B","(Post)","since"
713,"1243","裡/裏","lǐ ","B","(Post)","inside"
851,"0143","內","nèi ","B","(Post)","during, within"
926,"0720","前","qián ","B","(Post)","before, ago"
1010,"0054","上","shàng ","B","(Post)","on, above"
1159,"0289","外","wài ","B","(Post)","outside, excluding"
1220,"0040","下","xià ","B","(Post)","next, second"
1346,"0014","一樣","yíyàng ","B","(Post)","same"
1348,"0234","以後","yǐhòu ","B","(Post)","afterwards, later, future, in the future, hereafter"
1351,"0232","以前","yǐqián ","B","(Post)","langsyne, ago, in the past, formerly, prevenient, before, previously"
1525,"0128","中","zhōng ","B","(Post)","among, between, within, during"
160,"0108","不等","bùděng","A","(Post)","vary in number"
1288,"0805","來","lái ","A","(Post)","time (since)"
