"拼音排序","編號","詞彙","拼音","等級","詞類","英文解釋"
15,"1385","按","àn ","I","(Prep)","according to, in accordance with"
18,"1387","按照","ànzhào ","I","(Prep)","according to, in the light of, on the basis of"
114,"0304","比方","bĭfāng ","I","(Prep)","for instance"
116,"0306","比方說","bĭfāngshuō ","I","(Prep)","for instance"
121,"0307","比如","bĭrú  ","I","(Prep)","for example"
122,"0308","比如說","bĭrúshuō ","I","(Prep)","for instance"
294,"2266","朝","cháo ","I","(Prep)","facing, towards"
1398,"0335","用","yòng ","B","(VA)(Prep)","to use; using, with"
306,"2394","趁","chèn ","I","(Prep)","while"
371,"1818","除","chú ","I","(Prep)","except"
548,"2338","等到","děngdào ","I","(Prep)","until"
650,"2769","對於","duìyú ","I","(Prep)","(in regard) to, toward, at, for"
879,"1659","根據","gēnjù ","I","(Prep)","on the basis of, according to"
946,"3357","關於","guānyú ","I","(Prep)","about, with regard to, concerning"
1299,"2669","較","jiào ","I","(Prep)","compare"
1391,"2223","就","jiù ","I","(Prep)","with regard to, concerning"
1418,"2395","距離","jùlí ","I","(Prep)","distance"
1472,"3065","靠","kào","I","(Prep)","depend/rely on"
1917,"3095","憑","píng ","I","(Prep)","based on, according to"
2133,"0693","如","rú ","I","(Prep)","according to, in accordance with, such as, as if, like, for example"
2290,"2376","視","shì ","I","(Prep)","depend"
2328,"1065","受","shòu ","I","(Prep)","passive signifier"
2379,"2438","順","shùn ","I","(Prep)","along"
2526,"0616","同","tóng ","I","(Prep)","with, for"
2621,"1430","為了","wèile ","I","(Prep)","for, for the sake of, in order to"
2891,"1192","沿","yán ","I","(Prep)","along"
2964,"0343","以","yĭ","I","(Prep)","using, taking, from a point on, because of"
3036,"0546","由","yóu ","I","(Prep)","from, via, by, through, owing/due to"
3045,"0755","有關","yŏuguān ","I","(Prep)","with regard to"
3206,"1814","針對","zhēnduì ","I","(Prep)","in the light of, in connection with"
3264,"1211","直到","zhídào ","I","(Prep)","until, up to"
3293,"0806","至於","zhìyú ","I","(Prep)","as for/to"
3390,"0799","自從","zìcóng ","I","(Prep)","since"
17,"0534","把","bă ","B","(Prep)","indicating pre-verbal object as thing dealt with by the action"
53,"1038","被","bèi ","B","(Prep)","by"
61,"0204","比","bǐ ","B","(Prep)","to compare; compared to, than"
132,"0978","從","cóng ","B","(Prep)","from"
176,"0928","除了","chúle ","B","(Prep)","besides, except for"
213,"1222","當","dāng ","B","(Prep)","at(the time of), while"
222,"0607","到","dào ","B","(Prep)","up until"
236,"1125","等","děng ","B","(Prep)","and so on, etc"
288,"1296","對","duì ","B","(Prep)","toward"
375,"1134","給","gěi ","B","(Prep)","for, for the benefit of, by (in passive cons.)"
380,"1255","跟","gēn ","B","(Prep)","with"
461,"0615","和","hé ","B","(Prep)","(together) with"
609,"1234","經過","jīngguò","B","(Prep)","as a result of, after, through"
710,"1499","離","lí ","B","(Prep)","distant/apart from"
723,"0596","例如","lìrú ","B","(Prep)","for instance/example, e.g., such as"
1119,"1093","替","tì ","B","(Prep)","to take the place of, on behalf of"
1179,"0632","往","wăng ","B","(Prep)","toward"
1184,"0774","為","wèi ","B","(Prep)","because of, for (someone or something)"
1246,"0377","向","xiàng ","B","(Prep)","to, towards"
1402,"1328","與","yŭ ","B","(Prep)","with, to"
1431,"0402","在","zài ","B","(Prep)","in, at, on,etc."
1489,"1215","照","zhào ","B","(Prep)","according to, in accordance with, towards"
374,"0373","打","dă ","A","(Prep)","from"
710,"2273","隔","gé ","A","(Prep)","at a distance from,after an interval of"
1017,"1541","假","jiă ","A","(Prep)","borrow,avail of"
1053,"1605","將","jiāng ","A","(Prep)","introducing object of main verb"
1185,"2031","距","jù ","A","(Prep)","be apart/away from"
1186,"2605","據","jù ","A","(Prep)","according to,on the grounds of"
1332,"0803","例","lì ","A","(Prep)","for example"
1368,"2757","臨","lín ","A","(Prep)","facing"
1413,"2535","論","lùn ","A","(Prep)","by,in terms of"
