"拼音排序","編號","詞彙","拼音","等級","詞類","英文解釋"
1398,"0335","用","yòng ","B","(VA)(Prep)","to use; using, with"
4,"2518","愛護","àihù ","I","(VA)","cherish, treasure, take good care of"
12,"0709","安慰","ānwèi ","I","(VA)","comfort, console"
14,"1384","按","àn ","I","(VA)","press, push down"
21,"2987","熬","áo ","I","(VA)","boil, stew, decoct, endure, hold out, stay up late or the whole night"
22,"1143","拔","bá ","I","(VA)","uproot, pull out, draw, lift"
25,"0924","把握","băwò ","I","(VA)","grasp firmly"
26,"3017","罷工","bàgōng ","I","(VA)","go on strike"
29,"3275","擺","băi ","I","(VA)","(1) sway, swing, wave; (2) place, put, arrange; (3) set up for show; lay bare, display, assume"
30,"3276","擺脫","băituō ","I","(VA)","break away from, cast away (old ideas, etc.), get rid of, to break out (of)"
32,"1379","拜","bài ","I","(VA)","do obeisance, salute, make courtesy call"
33,"1382","拜訪","bàifăng ","I","(VA)","pay visit,call on"
34,"1380","拜年","bàinián ","I","(VA)"," pay New Year's call, wish sb. Happy New Year"
35,"1381","拜託","bàituō ","I","(VA)","request sb. to do sth."
39,"2527","搬運","bānyùn ","I","(VA)","move, transport"
41,"1135","拌","bàn ","I","(VA)","mix"
42,"3154","辦公","bàngōng ","I","(VA)","handle official business,work (usu. in an office)"
43,"3156","辦理","bànlĭ","I","(VA)","handle, conduct, transact"
45,"3155","辦事","bànshì ","I","(VA)","handle affairs, work"
47,"0934","扮演","bànyăn ","I","(VA)","play part of"
57,"0401","包裝","bāozhuāng ","I","(VA)","pack, dress up"
59,"1294","保","băo ","I","(VA)","keep, protect"
63,"1295","保存","băocún","I","(VA)","preserve, conserve, keep"
65,"1306","保護","băohù ","I","(VA)","protect, safeguard"
66,"1298","保留","băoliú ","I","(VA)","continue to have, retain, hold back, reserve"
68,"1301","保衛","băowèi ","I","(VA)","defend, safeguard"
70,"1302","保養","băoyăng ","I","(VA)","take good care of one's health, maintain, keep in good repair"
71,"1299","保障","băozhàng ","I","(VA)","ensure,safeguard"
73,"1304","保證/証","băozhèng ","I","(VA)","guarantee"
76,"2206","報","bào ","I","(VA)","(1) report, reply; (2) to hit back (at sb. or sth.), recompense"
77,"2207","報仇","bàochóu","I","(VA)","revenge, avenge"
78,"2213","報答","bàodá","I","(VA)","repay, requite"
79,"2214","報導","bàodăo","I","(VA)","report"
80,"2211","報到","bàodào","I","(VA)","report for duty, check in, register"
82,"2210","報告","bàogào ","I","(VA)","report, make known"
